id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,59,3,282,11/21/2019,2.83,1,33,4,0363 5F3A 5684 6750 D14D
20168,Studio with private bathroom in the centre 1,59484,Alexander,,Centrum-Oost,52.36407,4.89393,Private room,106,1,339,3/27/2020,3.57,2,0,0,0363 CBB3 2C10 0C2A 1E29
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38761,4.89188,Private room,135,2,226,10/20/2021,2.13,1,22,7,0363 974D 4986 7411 88D8
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,75,2,364,10/15/2021,4.62,2,267,28,0363 607B EA74 0BD8 2F6F
29051,Comfortable single room,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,55,2,509,10/9/2021,5.52,2,282,30,0363 607B EA74 0BD8 2F6F
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,,Centrum-Oost,52.37168,4.91471,Entire home/apt,240,3,41,9/22/2019,0.61,1,0,2,0363 E76E F06A C1DD 172C
47061,Charming apartment in old centre,211696,Ivar,,De Baarsjes - Oud-West,52.36786,4.87458,Entire home/apt,120,2,184,4/3/2019,1.56,1,178,2,0363 1266 8C04 4133 E6AC
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,157,3,384,10/31/2021,3.63,1,0,16,0363 576A D827 5085 6B83
49790,Luxurous Houseboat-Great Location,227530,Klaas,,De Baarsjes - Oud-West,52.36158,4.86101,Entire home/apt,250,3,105,5/14/2019,0.83,1,0,2,0363 4574 0059 C89C 0671
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36811,4.88262,Private room,118,2,310,2/21/2020,2.5,1,332,3,0363 22DC 0E52 B70B 0FB8
55621,"Fully equiped house, PIJP area = great",262846,Bharati,,De Pijp - Rivierenbuurt,52.35399,4.89756,Entire home/apt,222,3,32,8/19/2018,0.48,1,0,0,0363 CA77 7271 E2DF 1B5E
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,,Centrum-Oost,52.358112,4.897637,Entire home/apt,100,4,61,5/23/2021,0.59,1,39,2,0363 E295 7D15 8420 343E
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35597,4.88512,Entire home/apt,149,4,95,1/3/2020,0.88,1,0,0,0363 B5A3 5F63 B032 A320
62015,"Charming, beautifully & sunny place with cat Luna",301340,Jessica,,Oud-Oost,52.36431,4.93122,Entire home/apt,120,2,35,4/29/2017,1.01,1,0,5,0363 B090 499C D757 7F4F
70598,Attic room with doublebed available,339333,Nadira,,Noord-West,52.4129,4.92224,Private room,40,1,107,10/8/2019,1.57,1,1,0,0363 C3A3 D38B 4644 BA93
75499,Red Studio Palamedes Amsterdam,400896,Edwin + Karin,,De Baarsjes - Oud-West,52.36326,4.87738,Entire home/apt,90,4,38,1/4/2018,0.52,2,300,5,0363 1726 3072 2F14 A2EA
76459,Yellow Studio Palamedes Amsterdam,400896,Edwin + Karin,,De Baarsjes - Oud-West,52.36261,4.876526,Private room,90,4,16,4/13/2017,0.26,2,0,0,0363 1726 3072 2F14 A2EA
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,,Centrum-West,52.37828,4.8944,Private room,82,3,228,10/17/2021,1.81,4,0,10,0363 4108 6EC3 C2FF 2493
82482,The Backroom - Central private appt,186729,Shawna,,Centrum-West,52.36968,4.88122,Entire home/apt,112,2,885,9/30/2021,7.03,1,245,29,0363 4ADE 41D8 0E67 1563
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,115,1,45,3/2/2020,0.7,1,54,1,0363 74BA 2074 E0CF 1CB8
97221,Beautiful and spacious room,195859,Gianni,,Slotervaart,52.34801,4.83639,Private room,45,2,201,10/20/2021,1.88,1,333,6,0363 BCBA 6311 3268 DC8C
